word,sentence,doc_ix
this,This is a created word mixing up Jewel and Illumination.,2560681461
it,"The choice of the term “nutrof”, which is distinctive and arbitrary as it is a created word that has no meaning in French nor the English language, cannot have been made randomly by the Respondent.",702502166
"neng""","The English translation of the foreign word(s) in the mark is: Chinese character ""CHU"" is an ancient place name in China and ""NENG"" means ""capacity"", the combination of Chinese characters ""CHU NENG"" is a created word , which contains no special meaning.",3219148823
it,"Whether it is a created word like ‘irie’; an old word used in a new and original way, ‘wicked!’ or a phrase like ‘One love’, Jamaicanisms have entered the language of countries from Alaska to Zimbabwe.",461569823
neologism,A neologism is a created word .,927374157
unland,"Unland is a created word , aiming to describe the situation of being ‘displaced’ from a territory, of being in no-land, invisible, forgotten, wandering across the country: a common consequence of the conflict in Colombia.",3023046740
that,That is a created word for people who want… want… they really really want…,2189428956
which,"There is a word for sleep, called “Sleep Quotient”, which is a created word , like intelligence quotient (IQ), Emotional intelligence(EQ), Adversity Quotient(AQ) and so on.",718771576
“arterra,"“Arterra is a created word from the words art and terra, meaning land,” says Sandy Gray-Murray.",2682091025
astrobiology,Astrobiology is a created word by those at NASA for the study of biology related to space.,146577317
“narative”,“NARAtive” is a created word by combining Nara and narrative.,1275776209
animakine,"In relation to animakine.com, animakine is a created word by us in 2001.",24789403
anrealage,"The brand name ANREALAGE is a created word with “real”, “unreal”, and “age” combined.",2261360144
that,"These Bengali muslims are NOT rohynga as that is a created word meaning something like, “Old villager” as they wish for that part of Burma to be their own piece of land but they really want all of Burma to be islamic just as these savages want the entire World to be islamic.",543128770
"therefore,","The word Spiritude therefore, is a created word indicating the condition, quality or state of Spirit.",109767654
divinity,Divinity is a created word it doesn’t exist.,2400482560
blog,blog is a created word from weblog which was first two words web log..,1919635508
this,Yes this is a created word by us!,1376177114
god,"God is a created word , it is not a primary word.",1393831175
avably,"Avably is a created word that bears a close resemblance to the word ""availably"".",3191418344
"""television""","After all, ""television"" is a created word for a technology: ""Other proposals for the name of this then-hypothetical technology were telephote (1880) and televista (1904).",460086598
person,"Either the human person is a created word that
demands absolute respect or it is a thing to be manipulated for utilitarian purposes.",2886512048
and,"And while that last word is likely something they won't see in their lives (it loosely means a fear of those who examine the body and is a created word for the book), many of these types of words students will encounter in college entrance tests such as the SAT.",1776296061
itself,“Religion” itself is a created word to help people characterize beliefs.,2622966845
itself,"Transgender itself is a created word - previously, transsexual was the more common term.",777669264
this,This is a created word mixing up Jewel and Illumination.,3267692951
god,"God is a created word , it is not a primary word.",2301158747
it,"'The name ""Tanzania"" was created as a clipped compound of the names of the two states that unified to create the country: Tanganyika and Zanzibar' (to quote Wikipedia) i.e. it is a created word , rather than one which naturally developed.",870626986
erowid,"The word Erowid is a created word based on indo-european roots meaning approximately ""Earth Wisdom"".",902156821
qur’an,"For instance, whether the Qur’an is a created word of uncreated can have implications on the extent to one which can have flexibility in interpreting the text- versus using it literally.",1735894799
unix,The trademark UNIX is a created word used in association with an operating system.,1323558908
‘doghouse’,So ‘Doghouse’ is a created word specific for the phrase?,688719161
funassy,"The name Funassy is a created word from Funa from Funabashi city and nassy, pears which are famous products from the city.",2392156183
it,"It is a created word made up by combining ""kai,"" which is the Chinese word meaning ""to open,"" with the suffix ""-stara"", which is taken from Ostara -- the name of the spring goddess of rebirth and transformation.",3003989084
pop”,“NEW POP” is a created word .,2552518986
sor),"However, in North America, it’s very common for people to call insurance 燕梳(Dummy PY: Yin Sor), you can’t break the word down it won’t make sense because 燕梳(Dummy PY: Yin Sor) is a created word from the English word Insurance, just the sound of it.",1485528766
humony,"Humony is a created word comprising human, humanity, and harmony...",3223150371
this,Yes this is a created word by us!,1586364007
